LINK	STREET	ANODE	BNODE	LENGTH	type	lanes_ab	speed_ab	cap_ab	lanes_ba	speed_ba	cap_ba	use
444148	улица Суханова	123248	87186	26.1938203103	MINOR	2	37.2902423866	500	0	37.2902423866	500	ANY
444149		135601	135599	4.87121234821	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444150	улица Уборевича	89542	108715	10.7869356797	MINOR	1	37.2902423866	500	0	0.0	0	ANY
444151		139979	139850	435.887749451	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444152		139850	90054	87.6003067049	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444153		135600	135601	6.17090771508	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444154		135601	135611	27.3340929324	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444155		135611	135618	44.3421684468	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444156		8363	139948	139.657771133	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444157		135570	136199	129.123233183	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444158		136199	136204	23.1631368057	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444159		136204	136212	10.0817189907	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444160		136212	136214	4.13570734638	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444161		139904	139969	171.357299131	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444162		8364	139990	197.932806389	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444163		67675	67655	88.9941530094	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444164		67655	67648	96.9223009204	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444165		67648	17785	7.92890347244	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444166		17785	67646	4.39494599114	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444167		67646	67651	130.844569005	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444168		67651	67654	61.9910742383	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444169		67598	67593	7.94387613143	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444170		67593	69628	2.73696050223	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444171		69628	120976	9.95546437666	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444172		120976	67637	164.138417007	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444173		67637	67643	144.987157308	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444174		67643	67645	58.5319766506	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444175		67645	67698	104.26974471	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444176		67698	67704	22.2744277101	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444177		67704	67685	76.6600762346	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444178		67685	67669	128.293526101	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444179		67719	67717	7.85645997194	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444180		67717	71468	5.62758624736	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444181		71468	67721	103.111297597	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444182		67721	67733	138.460009189	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444183		67733	51865	86.5899129524	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444184		51865	67738	31.8572460879	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444185		67738	67722	85.1767766768	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444186		67729	67734	18.0057708525	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444187		67669	67668	6.93733885753	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444188		67711	67709	5.83381328623	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444189		67731	67726	16.9277853946	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444190	Алеутская улица	3285	89171	25.4228289113	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444191		67656	67654	9.12234967531	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444192		67738	67731	27.2071761041	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444193		67706	67705	7.93136861677	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444194		67705	67704	8.88151961818	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444195		67679	67686	9.82493787757	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444196		67701	67698	5.83080587043	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444197		67680	67682	7.76516833368	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444198		67717	67714	6.94971285475	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444199		67686	67696	9.24262624556	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444200		67677	67675	9.93150277107	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444201		67713	67706	25.0103971355	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444202		67706	67701	8.3701275524	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444203		67678	67679	11.9582811943	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444204		67679	67680	9.01264662545	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444205		67604	69629	5.19197239581	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444206		69629	67598	13.8886425246	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444207		67668	67657	17.7325365939	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444208		67657	67656	16.8286668267	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444209		67657	67678	26.2701886586	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444210		67678	67677	20.9071527378	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444211		67714	67713	23.4371472981	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444212		67713	67711	8.2131802512	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444213		100844	100847	159.276116402	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444214		67614	67609	60.9017785345	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444215		67609	67604	4.58702512164	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444216		67604	90160	130.276908913	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444217		90160	67612	19.9061672906	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444218		67712	67764	140.861134884	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444219		67684	67696	24.2330007912	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444220		67696	67720	57.1516566471	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444221		67720	67732	41.3005355637	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444222		67709	67712	2.43017922087	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444223		67712	67703	122.938125667	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444224		67703	67684	80.6868246342	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444225		67684	67682	2.63517778833	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444226	Седанка - Патрокл	72947	88507	651.429555529	MINOR	1	49.7203231821	500	0	0.0	0	ANY
444227	Седанка - Патрокл	88507	72966	943.831447659	MINOR	1	49.7203231821	500	0	0.0	0	ANY
444228	Седанка - Патрокл	72966	72974	231.457910231	MINOR	1	49.7203231821	500	0	0.0	0	ANY
444229	Просёлочная улица	10374	32159	1286.72372881	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444230		32160	32167	852.29099055	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444231		32167	32159	836.083081452	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444232		32176	83231	238.508909541	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444233		10321	32184	113.002452686	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444234		32184	32201	794.888316603	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444235		32201	32206	87.279821214	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444236		32206	32208	55.2621439108	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444237		32206	32201	176.131873722	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444238	Бетонная площадка	32226	32208	182.212092427	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444239	Бетонная площадка	32208	32226	10.243850324	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444240		135083	135084	16.4993711547	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444241		134234	134225	37.5096801562	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444242		134218	134220	2.67918899245	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444243		1129	134218	10.4959081972	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444244		134220	134229	14.0182576378	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444245		114231	114236	65.5265503178	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444246		114814	114829	7.28400471606	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444247		114829	100457	340.247264146	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444248		100457	114231	136.941777483	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444249		114236	114237	5.21718772447	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444250	Фанерный переулок	80248	70907	267.57982138	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444251	2-я Крутая улица	70853	70985	34.4873093839	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444252	2-я Крутая улица	70985	70888	58.7397600898	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444253	2-я Крутая улица	70888	70876	280.37146375	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444254		80109	80086	140.332303516	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444255		80086	80075	476.408713621	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444256		94754	94752	4.17934680455	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444257		94750	94749	3.32774362981	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444258		94752	94750	14.1832354227	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444259		94749	94719	8.17560234913	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444260		94725	94734	44.0556224125	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444261		94734	94735	5.32132383577	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444262		1190	133753	19.1962549294	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444263		133753	133661	114.491057073	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444264		133661	133758	147.431823354	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444265		133758	9182	54.3175383694	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444266		139729	139730	14.6939976926	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444267		139726	139729	14.2867893958	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444268		139720	139719	7.20629239262	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444269		139732	33933	21.2807292747	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444270		96421	96423	158.450701612	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444271		139716	139719	44.850271813	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444272		139719	139726	17.3974346743	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444273		139725	139720	82.0361156449	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444274		139720	139718	12.8326200762	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444275	Запорожская улица	1050	96271	232.446087766	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444276	Запорожская улица	96271	47149	69.4420973706	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444277	Можжевеловая улица	2742	9161	270.388399176	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444278		90265	90264	9.93311646764	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444279		90267	90263	23.8075240661	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444280		90268	90267	10.6750111563	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444281		90264	90261	37.8901572406	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444282		90261	67977	88.3216752017	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444283		90262	1026	47.4601294587	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444284		90257	90258	9.65073655182	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444285		90263	90262	1.71964742055	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444286		90262	90265	16.0716202758	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444287		6024	6416	98.8895636606	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444288		6408	6420	128.215628787	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444289		39109	39110	18.2275874503	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444290		35780	5908	28.7644282154	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
444291		39108	39110	115.744291858	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444292		8642	82444	56.8074617426	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444293		82497	82496	5.27148156982	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444294		82496	82494	5.11816532504	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444295		82441	82432	70.0496862498	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444296		82444	82437	66.9646414898	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444297		82488	82478	46.3046238655	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444298		89655	82476	1.9091066997	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444299		82476	89654	4.22025109085	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444300		89654	89651	6.76351876394	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444301		89651	65023	43.7731737442	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444302		65023	65137	38.0748811808	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444303		82494	82488	52.6456698323	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444304		101465	101492	61.4862014313	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444305		101492	101508	31.5167894668	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444306		101508	101512	3.52627143107	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444307		101512	101530	12.8330172587	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444308		101400	101405	11.4640085182	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444309		101405	101416	16.6735300833	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444310		101416	101426	11.2210941955	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444311		101426	101435	14.7094863847	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444312		101435	101453	49.1761707468	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444313		101457	101458	3.48862751273	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444314		101458	101462	22.146177601	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444315		101462	101495	71.5156755892	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444316		101495	101518	38.4130429167	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444317		101518	101517	24.5072186564	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444318		101518	101529	4.40156034083	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444319		101546	101526	13.0208106189	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444320		101452	101458	8.71964668565	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444321		101557	101529	12.871232363	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444322		101455	101462	10.4040351856	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444323		101551	101546	4.57092526785	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444324		101499	101497	9.79692490327	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444325		101574	101542	64.1845186892	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444326		101490	101509	30.7055714351	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444327		101542	101531	8.98441233809	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444328		101495	101497	5.87405201722	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444329		101538	101492	48.7565870615	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444330		101506	101496	49.888860424	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444331		101509	101512	3.16168345401	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444332		101512	101513	3.00284785501	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444333		101467	101459	106.685484925	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444334		101459	101443	295.29213487	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444335		101576	101578	8.51524508219	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444336		101578	101579	8.83498929529	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444337	улица Всеволода Сибирцева	86998	8398	130.219369025	MINOR	2	37.2902423866	500	0	37.2902423866	500	ANY
444338		101416	101434	46.5780333873	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444339		15014	15015	5.69326421721	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444340		15015	117667	39.2671338762	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444341		117667	12715	37.9667675224	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444342		101426	101438	37.6641935644	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444343		101540	101573	48.2234395035	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444344		101522	6362	111.10538312	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444345		101579	107524	241.937913619	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444346		101508	101546	25.0874443841	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444347		101546	101538	55.8102935423	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444348		101538	101522	8.93030209513	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444349		101522	101531	3.65569771685	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444350		101513	101551	21.9385888399	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444351		101551	101576	92.8300798344	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444352		101491	101506	24.2365525046	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444353		101506	101540	24.2768104597	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444354		101540	101563	21.1497959514	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444355		101436	101393	148.82045852	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444356	улица Карбышева	3524	6451	120.686184235	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444357	улица Карбышева	6451	6453	83.5473845224	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444358	улица Карбышева	6453	61376	92.7722778284	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444359		14280	15029	21.5350616806	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444360		15029	15031	56.0520318772	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444361		15031	15035	59.7832144043	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444362		15035	15062	63.191959621	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444363	Горийская улица	6188	69024	2.7270390424	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444364	Горийская улица	69024	65848	51.636141333	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444365	Горийская улица	65848	24077	26.3646528155	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444366		136025	136026	22.5324099898	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444367		136681	135623	86.4049032242	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
444368	улица Академика Комарова	80225	80231	174.862749778	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444369		121075	121078	198.157306771	LOCAL	1	37.2902423866	500	0	0.0	0	ANY
444370		121078	121079	5.84371365581	LOCAL	1	37.2902423866	500	0	0.0	0	ANY
444371		121078	16360	9.40964407339	LOCAL	1	37.2902423866	500	0	0.0	0	ANY
444372		121080	121081	84.9657331148	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444373		93381	121083	20.7708956219	RAMP	1	37.2902423866	500	0	0.0	0	ANY
444374		93373	93374	32.7782892999	RAMP	1	37.2902423866	500	0	0.0	0	ANY
444375		13399	86441	19.2064833047	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444376	улица Нейбута	3072	31393	41.3063844726	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444377	улица Нейбута	31393	8015	72.9955028428	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444378	улица Нейбута	8015	5288	24.4672090755	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444379	улица Нейбута	5288	6515	128.626929465	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444380	улица Нейбута	6515	26659	59.1090440623	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444381	улица Нейбута	26659	26658	48.8262191213	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444382	улица Нейбута	26658	38472	8.82191602191	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444383	улица Нейбута	38472	64903	303.87116621	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444384	улица Нейбута	64903	25389	192.036842002	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444385	улица Нейбута	25389	98178	60.083567737	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444386	улица Нейбута	98178	98520	53.7020715121	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444387	улица Нейбута	98520	68558	86.2631887165	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444388	улица Нейбута	68558	6506	11.6217074359	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444389	улица Нейбута	6506	98498	204.806851965	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444390	улица Нейбута	98498	98482	82.2930602329	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444391	улица Нейбута	98482	6502	162.603064008	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444392	улица Нейбута	6502	98428	118.944007905	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444393	улица Нейбута	98428	6499	103.594015459	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444394	улица Нейбута	6499	6495	220.343642549	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444395	улица Нейбута	6495	5557	203.873478351	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444396	улица Нейбута	5557	62195	24.8898626329	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444397	улица Нейбута	62195	61726	2.84927616954	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444398	улица Нейбута	61726	62184	168.566753959	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444399	улица Нейбута	62184	66692	78.2197667066	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444400	улица Нейбута	66692	132620	145.640985146	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444401	улица Нейбута	132620	6483	86.6645880242	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444402	улица Нейбута	6483	67856	45.430660548	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444403	улица Нейбута	67856	6480	265.282621497	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444404	улица Нейбута	6480	57605	28.9851942606	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444405	улица Нейбута	57605	6479	76.0471566337	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444406	улица Нейбута	6479	60736	58.5651988505	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444407	улица Нейбута	60736	9712	11.4945851004	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444408	улица Нейбута	9712	6479	54.6448645791	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
444409		86442	86443	15.4113558536	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444410		86441	86442	34.8928121961	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444411	улица Борисенко	1258	142987	9.85700898829	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444412	улица Борисенко	142987	104483	56.5763811993	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444413	улица Борисенко	104483	6534	22.215110603	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444414	улица Борисенко	6534	104503	49.6393176777	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444415	улица Борисенко	104503	141579	4.90979062909	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444416	улица Борисенко	141579	6536	86.6782750572	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444417	улица Борисенко	6536	135480	57.2570254847	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444418	улица Борисенко	135480	135865	7.28188415645	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444419	улица Борисенко	135865	6541	9.74774938327	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444420	улица Борисенко	6541	136748	27.3318350104	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444421	улица Борисенко	136748	6542	32.5836136221	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444422	улица Борисенко	6542	136632	13.1405099722	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444423	улица Борисенко	136632	143026	50.27116025	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444424	улица Борисенко	143026	6545	55.3439290277	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
444425	Керченская улица	4399	51937	147.299802931	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
