LINK	STREET	ANODE	BNODE	LENGTH	type	lanes_ab	speed_ab	cap_ab	lanes_ba	speed_ba	cap_ba	use
439135	2-я Шоссейная улица	6237	108447	7.85645514477	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439136	2-я Шоссейная улица	108447	108435	53.3474867663	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439137	2-я Шоссейная улица	108435	108402	130.810239772	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439138	2-я Шоссейная улица	108402	108377	107.617205445	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439139	2-я Шоссейная улица	108377	6240	62.357392283	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439140	2-я Шоссейная улица	6240	6242	63.3257209761	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439141	2-я Шоссейная улица	6242	91609	184.704593413	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439142	2-я Шоссейная улица	91609	141829	37.3513254747	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439143	2-я Шоссейная улица	141829	141794	116.16394341	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439144	2-я Шоссейная улица	141794	6243	31.9811972698	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439145	2-я Шоссейная улица	6243	57005	106.133153046	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439146	2-я Шоссейная улица	57005	81474	34.4955875654	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439147	2-я Шоссейная улица	81474	108212	184.772292834	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439148	2-я Шоссейная улица	108212	6246	71.4798491837	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439149	2-я Шоссейная улица	6246	6247	225.792862829	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439150	2-я Шоссейная улица	6247	6248	228.212594839	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439151		37450	121743	7.54816542631	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439152		121743	37472	496.19962288	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439153		37472	37475	7.62878856352	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439154		37475	37480	243.94808498	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439155		37480	11098	14.3474858175	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439156		51957	51950	12.1319511966	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439157		51953	51952	16.4738596286	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439158		51956	51957	117.207982814	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439159		37480	37482	6.49700649537	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439160		37482	11090	12.0727224319	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439161		37472	63543	209.722024228	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439162		63543	37488	23.0177115784	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439163		37488	37490	76.0461559756	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439164		7700	11691	52.1113228661	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439165		11691	7708	76.8499972289	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439166		61717	61705	23.8944050623	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439167		134032	134027	78.1636758465	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439168		134027	134026	31.5738053778	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439169		134026	134012	112.546682936	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439170		134012	133715	105.546625507	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439171		61688	4437	22.391771139	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439172		134005	134009	91.0479081882	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439173		84395	84394	6.67902489003	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439174		84394	84388	5.3134818713	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439175		61658	61664	23.7326483758	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439176		61664	61712	13.6543252897	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439177		61712	61675	7.39727377446	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439178		61675	61715	21.0243830858	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439179		61715	61716	17.8748727358	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439180		84398	84396	16.9466751181	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439181		84380	84398	36.5760520657	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439182		84398	84406	17.0512525503	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439183		84406	84407	7.05001252452	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439184		61640	61675	44.0713375814	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439185		84420	84414	17.1164582112	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439186		84414	84407	31.8567408884	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439187		84407	84381	53.3432367436	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439188		84381	84376	17.7098834316	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439189		84414	84412	17.488776891	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439190		84412	84411	16.5889886963	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439191		84411	84401	17.619428568	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439192		84401	84397	18.5147069917	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439193		61643	90325	143.842022433	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439194		84417	84411	36.6696901656	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439195		84411	84404	12.1148189062	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439196		84404	84397	11.6934223978	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439197		84397	84378	41.8234438417	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439198		84378	84375	18.5130881066	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439199		84374	56212	4.69540793238	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439200		56212	84388	49.4841935379	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439201		84388	84393	20.6176212844	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439202		84379	84396	36.7952809695	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439203		84396	84405	16.4971393592	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439204		84405	84404	6.19393483672	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439205		84404	84401	13.7897407528	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439206		84401	84395	14.3140320898	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439207		61672	61658	58.8170624945	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439208		61658	62813	47.5651037839	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439209		61715	61669	44.1776175122	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439210		61690	61664	43.5782767435	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439211		61712	62814	46.6757868284	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439212		61704	61717	116.267190425	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439213		61717	61478	58.7883390077	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
