['./prepVladGraph2012.py', 'links.txt']
37233 130041 215.073647
130041 6202 344.188743
6202 1577 9.670646
750 751 54.550944
113482 113559 1053.894640
113500 113514 627.707848
4764 36956 16.144916
36956 5645 39.596160
5645 7739 66.449759
16100 44314 51.449825
42485 46030 149.631248
46030 877 39.385340
42488 46030 8.859055
7147 9606 161.196537
9606 100575 181.588370
100575 9613 61.958023
9613 9621 281.003672
116701 116699 206.245998
116699 116710 159.360536
116758 116755 25.944382
116729 116730 19.595569
116730 116731 31.111146
116710 116703 65.174775
116756 116761 29.874681
116730 116734 72.658680
86458 116743 59.044072
116742 116735 50.188667
116761 116758 34.430654
116699 116720 240.703059
17217 7740 208.287761
116691 116675 327.183344
46033 48650 41.845265
48650 42487 82.569864
42487 46040 73.797028
142142 142194 46.054117
42486 42487 15.871868
34817 142133 3.820369
74381 74368 42.215256
56269 142786 44.400361
142786 56270 8.740860
86868 46047 199.003726
46047 46048 7.113266
46049 46051 197.331778
46052 46051 19.661053
7779 7781 197.797446
74407 74405 25.932353
74405 23556 119.517463
7781 7782 53.811340
14010 14011 17.557901
14011 14012 13.498068
14012 14017 120.964007
14017 14018 26.988744
75216 776 22.953536
776 107530 84.574013
14012 14020 38.473042
14020 14023 36.663101
14023 14026 124.450890
89337 93800 340.456406
6669 89334 52.695512
89334 89337 95.591954
14023 14036 20.310211
14036 14017 67.535907
7783 87007 777.009535
4866 107015 4.963989
107015 5467 104.686362
5467 103559 128.931766
103559 133749 95.983354
133749 133757 169.582248
133757 133798 131.040509
133798 5475 12.209905
149998 157035 29.370579
149992 89410 42.709712
149998 102574 39.493776
109345 149992 79.270124
149992 89968 123.704250
89968 44402 249.335582
3224 121910 91.451242
121910 2709 505.516682
2709 2254 63.227995
5839 56702 42.384947
56702 3898 534.841784
3898 3900 90.127202
3900 121191 18.124839
121191 7878 473.681566
136480 136479 50.349583
12626 82260 71.725994
130752 130747 32.326093
130745 130747 71.720943
130747 130767 544.906286
130767 130767 137.232156
37491 3369 43.979191
3369 3372 63.885761
60889 22822 39.319008
84429 84423 17.825310
60918 60919 14.416339
84430 84429 29.571264
84429 84428 24.594806
84428 84425 32.979383
60915 60917 10.575446
60829 60835 9.160704
60845 60856 52.047790
60917 60920 11.190464
60848 60865 35.330043
60902 60901 38.476006
60865 60869 2.884516
60869 60873 4.194357
60919 60916 30.730874
60859 61009 16.895123
60850 60852 8.203481
93532 93627 4216.944138
60894 60878 33.372572
60878 60861 12.016702
60755 60757 12.045679
60757 62273 8.914927
62273 133317 86.876768
133317 60771 4.150805
60771 60775 20.266179
60920 60923 30.397432
60833 60839 5.552741
60839 60841 10.661919
60841 60848 27.014561
60897 60925 30.382118
60858 60886 76.427654
60886 60889 9.822853
60889 60915 36.360533
60865 60859 11.353541
60859 60850 26.443487
60850 60835 50.636703
60835 60841 48.861788
44011 60829 13.018148
60829 60858 62.506651
60928 60897 40.877563
60897 60879 37.760401
60879 60873 5.286612
60873 60845 50.875975
60845 60842 4.629905
60855 60842 56.827685
60842 60833 30.606035
60833 4463 37.551776
2253 3224 84.601862
9192 93350 42.357741
1191 134025 36.517172
134025 1183 75.803911
61470 96037 71.815926
19811 142301 46.833339
142301 142303 92.240732
142304 142305 42.094138
142301 142305 29.427459
142305 142307 95.979113
142307 142309 60.986771
142309 142310 27.057030
142310 142311 54.830483
142311 142303 9.353297
142311 142307 17.797473
142309 142316 114.471886
142310 142318 135.276993
142325 142329 194.273332
142329 142330 10.502305
24783 3584 224.300345
118583 118587 10.819838
118648 134173 10.036867
134173 118644 20.648992
118566 118569 12.703655
118632 118587 81.448622
118639 118638 14.386632
118638 118628 47.744334
118550 118569 43.955964
118569 118583 36.776763
34084 751 118.114595
109459 109513 318.197173
104623 110345 197.169929
110345 115370 174.940732
115370 109432 150.739231
109408 109395 262.288651
109513 62845 440.712694
109461 109460 18.522381
109460 109459 5.153296
109362 109355 114.187505
109365 102125 169.665701
83346 109461 36.233378
109488 109513 85.900407
109460 109488 115.640218
109351 60778 345.082137
113567 113560 214.751269
56761 56764 191.431288
113547 113542 49.937968
113559 113453 17.840082
83647 113537 855.393221
113537 113442 111.465393
113442 113453 191.087795
113453 113451 43.118046
113537 113539 54.739583
113545 113555 143.428277
113442 113545 9.306482
113545 113547 91.924285
113547 113552 111.466037
52886 52867 73.163756
52829 52802 74.208888
52838 52863 90.881046
4457 52866 219.742509
52866 52827 122.371489
4457 52838 15.052541
52838 52886 22.921903
52886 52864 76.119219
54324 54332 46.740388
54332 38865 41.561162
54329 54330 82.998549
120552 120549 16.754208
120553 120552 6.370119
120555 120553 3.134621
120551 120549 6.973741
120549 120548 6.842892
120562 120561 2.408762
120561 120567 130.589216
96646 109345 1261.144658
109345 89410 97.471384
89410 82862 255.994517
120569 120562 142.000255
120562 94227 112.350581
3975 72231 67.352178
72231 56992 239.855778
56992 4001 610.986267
4001 52214 66.167301
52214 4004 14.564713
4004 4005 21.983769
4005 4007 24.338511
3855 134694 25.786800
134694 134701 37.605065
134701 134696 22.057008
134696 134705 41.539517
134705 133892 64.187780
133892 3857 4.637865
3428 19114 56.313773
19114 19191 86.177485
19191 4025 159.684498
4025 18997 201.869417
18997 18782 159.194562
18782 18923 88.030487
18923 18930 45.321162
18930 18440 178.468314
18440 36444 220.486670
36444 121063 103.616159
121063 1513 23.797406
86329 121015 120.968788
121015 920 10.152094
3854 5754 117.367770
5754 915 24.729855
108145 108144 183.578665
87612 87607 6.562492
86434 86401 484.610350
1655 117535 12.450575
117535 103345 11.983513
103345 103340 23.573168
103340 117526 4.564489
117526 86427 150.788194
105989 86438 208.690091
86437 86434 68.716188
86434 1657 84.994680
1657 117309 763.907196
7795 7797 184.166249
7797 7798 45.728986
7798 7799 79.658408
7799 7800 81.193275
7800 7801 23.925311
7801 7802 20.687924
7802 7803 27.693259
7803 7804 30.994508
7804 7805 40.344386
7805 7806 38.911010
7806 7807 21.248592
7807 7808 66.123242
7808 7809 50.313916
7809 2755 8.385685
2755 7810 15.046496
7810 4546 28.508377
4546 7811 25.730536
7811 7812 44.797358
7812 7813 54.708185
7813 7814 34.587114
7814 7815 36.019923
7815 7816 18.643548
7816 7817 18.804872
7817 7818 23.123548
7818 7819 20.264364
7819 7820 43.996584
7820 7821 48.941445
7821 7822 11.532170
7822 12599 5.022411
3417 41148 179.904079
41148 2385 64.845002
148979 148986 148.029610
148986 148985 39.819065
54614 54769 22.991784
54769 54625 64.590169
54625 54613 42.483678
54625 54760 204.143735
72960 72953 155.219945
4569 7827 226.998999
1012 7795 7.946872
7795 7829 47.789627
24803 6851 49.132843
6851 24795 198.256531
9627 125430 24.034869
125430 95398 57.373318
95398 6059 36.946427
93330 9199 21.021560
133793 133680 6.943236
133680 9195 17.732201
9195 133826 17.375568
133826 9180 60.677225
9180 133704 38.465436
133704 93312 7.792912
93312 9198 99.214205
9198 93330 22.132935
133755 133790 131.910990
133737 133199 16.177573
133735 133734 18.227410
9477 102513 82.368613
102513 136929 23.522539
136929 102510 30.735335
102510 136919 4.763142
136919 102509 119.089400
102509 47881 80.672557
102718 102724 378.432821
102648 102665 186.548683
9469 144003 41.748188
144003 143806 16.917241
143806 143807 1.875869
143807 143808 3.776121
102674 102709 457.307508
102750 102728 222.517620
102768 102750 212.397534
102750 102727 246.169347
133764 133751 50.644183
4604 102627 432.696515
102627 102623 6.722970
102623 102602 44.981495
102602 102648 325.169446
102648 102649 7.394596
102588 102632 121.226460
133758 133752 27.379775
133753 133752 20.079165
133752 133973 108.196632
133973 133968 19.480594
133968 133739 6.526848
133665 133826 96.761919
133759 9182 45.842293
133817 133774 49.295605
133774 133754 158.497960
133749 133737 44.086441
133737 133740 58.414470
118688 118683 84.785075
118695 118693 29.170932
118693 38766 16.153748
38766 118691 10.110098
118691 118688 14.185949
118688 118689 18.265861
148999 149052 15.663292
149052 149049 35.844810
149049 149013 150.589738
149013 149055 111.834151
149055 66462 33.415052
1093 44689 51.604421
44689 40140 255.816399
134027 134030 7.595958
50678 77699 36.999128
84043 98870 126.012439
98870 98865 27.001307
98865 98847 79.091668
98847 98865 91.687303
98929 98928 29.771292
98965 98959 50.696338
98908 98907 9.655020
98907 98898 48.230840
134026 134025 8.489140
134025 134020 15.308383
98870 99300 100.426555
99300 98849 21.328805
98940 98933 24.165727
98933 98952 46.188691
98952 98954 17.761283
98847 98829 69.087943
86528 98829 102.846879
62730 109979 864.642992
134012 108151 11.996868
108151 134009 14.852258
109979 62747 2126.471113
109978 25814 861.054612
7830 125409 9.884646
125409 7847 476.210519
84418 84412 26.947580
84412 84409 16.378356
13751 37507 38.415107
24934 35190 18.331383
1107 142922 3.186397
142922 7852 142.401609
7852 140651 32.246378
140651 7853 18.916272
86528 86493 614.225320
98918 98917 25.979637
84381 84380 7.310838
84380 84379 13.331072
84379 84378 6.593620
2460 6211 72.477702
3108 45998 7.419470
45998 45949 105.708739
38064 38052 39.196913
38053 38051 133.041413
38052 60524 34.969720
84421 84420 6.605865
84420 84418 14.086814
84418 84417 13.012538
84417 84416 28.825069
149050 149051 38.571801
37721 37601 243.398111
7851 142923 3.953332
142923 34153 23.620149
34153 3853 42.506932
37600 37725 185.026558
84408 84405 6.205299
84405 84406 20.466121
84406 84409 10.194988
84409 84408 3.974158
22609 22611 30.334614
22609 22614 37.527930
6770 23518 50.559251
23518 3002 6.833252
3002 3014 35.743689
22610 22609 37.761413
14942 15009 821.488677
2892 6582 140.001520
6582 6584 67.980097
6584 6586 202.543339
2892 43199 64.945543
43199 40505 21.709355
40505 2890 46.103123
2890 6611 94.305037
6611 6617 183.249958
6617 87125 528.930844
87125 2884 84.331503
68825 68810 47.482874
68810 8683 182.533150
852 68576 164.884236
68480 68486 122.768659
68573 68499 72.248419
52395 68497 83.564240
98520 68558 174.411378
5547 68594 208.346163
68594 68544 37.931057
68577 68604 47.820378
34395 34428 76.073349
34428 35311 4.839362
35311 35314 44.306146
35314 34432 27.058621
34432 34433 15.778756
4068 6372 135.451933
6372 8185 161.733348
8185 6457 86.051801
6457 39798 337.049627
31758 31759 22.991988
86168 134782 94.812786
134782 122092 31.073266
122092 122093 34.676493
35220 35232 26.859914
3560 101389 58.919495
101389 8190 56.109273
8190 44270 107.354033
35238 35239 13.205911
35239 35240 42.897156
87912 87911 19.305797
87911 87910 44.729889
14203 137812 16.397414
137812 87906 108.202549
87906 142432 12.668436
142432 14214 244.318026
14214 14215 32.111271
14215 137256 43.569316
137256 137297 1.833710
137297 137266 24.852297
137266 14227 66.130810
14227 137118 65.279200
137118 135504 15.097755
135504 135542 61.828515
135542 14233 126.247059
14233 136201 52.985134
136201 14237 117.077931
14237 86058 235.360285
86058 65627 5.589852
900 38851 26.343559
38851 36903 18.993207
36903 52305 8.255207
52305 6164 14.883526
6164 6165 32.810002
6165 6168 110.315174
6168 6172 79.600065
6172 33832 4.136036
33832 31850 26.342645
122663 86746 521.835773
86746 86753 229.969229
64231 65897 18.987903
65897 65877 102.539880
149104 149096 38.181783
149096 149095 9.702561
149095 149115 46.732617
149115 149114 104.478724
80652 142831 25.933754
64236 126613 4.997714
7954 6611 193.109766
6611 6613 81.836604
6613 6614 97.636033
6614 6615 107.807876
6615 6616 188.932564
15709 15718 19.537122
64407 66213 8.206935
66213 64397 68.555837
1311 123857 12.365053
123857 31458 51.227634
31458 31463 311.619908
8191 73648 72.116063
73648 73670 14.171391
73670 73691 19.528771
73691 8192 19.422030
8192 46536 28.584939
46536 7231 121.426004
7231 73682 15.250141
73682 84495 2.428780
84495 84497 24.530337
84497 84496 8.527991
84496 7229 16.132969
7229 73653 23.893761
73653 3562 71.017431
3562 101389 54.049008
64285 64295 20.443846
64295 33727 62.150148
64248 64255 4.265153
64255 64607 3.940178
23663 64593 2.862738
64231 65906 2.214136
65906 64285 76.634597
1101 7169 41.705142
7169 81694 19.378204
81694 7170 45.659213
95393 95396 74.144096
63139 95393 99.722872
95393 95397 42.538386
4047 109737 314.597112
109737 4105 127.464352
4105 109759 162.102442
109759 4110 82.069589
4110 4116 328.193028
4116 68285 402.708583
68285 53003 31.327619
53003 4123 75.759560
4123 4125 69.430845
4125 4126 37.664931
4126 4131 246.662425
3546 3548 41.965316
3548 66602 64.153259
66602 3560 463.938525
3560 3562 39.292688
3562 8191 162.959031
8191 73667 224.284493
73667 4072 67.899739
4072 73630 465.337110
73630 4086 72.615059
4086 4092 223.943617
4092 4047 147.624160
68159 109797 143.836419
109797 109797 248.949191
109792 84812 79.810306
84812 68155 14.874286
68155 4116 49.347482
4116 68159 61.499722
68159 109836 151.812632
133189 133186 6.355135
133185 133199 81.459296
149162 149161 10.662887
149161 149168 43.184157
149168 149163 25.616318
149163 149167 40.551728
8179 76895 191.983890
17281 77503 56.984485
77503 91503 110.483654
91503 81963 344.304706
7595 6900 840.346947
17280 17281 59.686125
17281 6917 309.619230
6917 83904 336.612323
83904 17288 184.161896
9943 7013 49.392322
7013 7011 165.980823
7011 7010 110.231228
7010 6863 114.234790
6863 6059 218.667617
6059 6061 138.733147
6061 6060 61.774101
6060 95933 21.131546
143391 143395 30.548338
143409 143408 30.065232
143408 143407 4.547422
143407 143399 12.618524
143384 143390 21.601051
36522 7057 61.620424
36522 142934 192.534667
7057 142933 37.598897
141753 141750 34.139102
141750 36512 67.710173
1285 6869 314.824526
6869 6870 76.502368
6870 6871 58.210184
6871 7595 141.552473
7857 7861 77.562459
7861 7860 223.980398
7861 7868 148.974453
8907 8915 217.270506
144953 144954 72.686410
142939 142940 16.580551
16355 16356 18.488464
16356 13361 10.359753
5950 81832 264.763723
81832 81843 198.129116
81843 6881 256.511806
6881 6888 379.901277
6888 6890 80.787222
6890 6892 122.441193
6892 81897 125.524076
81897 6898 106.757043
8916 8893 199.972089
157289 10406 174.400853
10436 101831 186.369104
157336 101831 252.210049
1093 44662 11.738793
44662 15199 331.964650
19869 19871 86.017216
19871 19872 8.482248
19872 19874 77.404462
19874 60438 212.306481
60438 7179 4.569028
16746 16748 68.531199
16746 118648 162.854525
118648 13404 80.687226
86585 1202 483.682698
1202 120944 203.260808
120944 120933 40.909017
120933 1203 14.713587
120697 120927 3.194244
120927 120696 3.481276
1152 71209 111.862165
71209 118936 40.066218
118936 49149 111.959077
81373 84681 38.364595
84681 84684 30.315547
84684 84686 29.039423
84686 84689 26.449513
84689 84691 29.049102
120674 120676 34.918847
4432 77697 3.137618
77697 77759 6.883054
81378 84692 41.701800
84692 81375 38.115107
81375 84679 146.336991
84679 81372 29.883873
81372 84670 36.798757
84670 81369 37.950123
50628 50643 70.893653
50643 50617 143.831340
50685 50706 16.583180
50706 157144 54.930483
157144 50675 116.741622
50675 5356 172.122095
50643 50702 162.109073
84616 84622 688.379279
84622 84626 108.370356
84626 84627 69.760392
84627 84632 270.406161
84632 84635 139.557850
50675 81770 25.445883
81770 50659 133.771741
863 18134 199.630599
18134 121529 164.103070
121529 2318 85.349658
2318 2319 200.270855
84634 84622 558.399775
13468 6457 211.601285
6457 93716 55.362965
93716 13466 222.185960
90460 71260 553.060232
6853 24761 210.708311
40106 40108 28.384001
40108 40115 167.312417
40115 12704 132.697578
40108 40126 139.855582
6903 6908 123.081789
6908 6909 152.613310
6909 41393 105.997628
22797 32125 18.312622
134485 134486 15.575343
134486 134488 37.492540
134488 134488 101.062472
107740 107738 1.894924
107747 107748 6.897189
107775 107776 5.664845
107735 107747 8.348091
107742 107741 1.833066
107774 107775 9.986767
107741 107740 1.555329
107734 107745 40.058850
14502 107736 3.699576
107736 107742 37.029727
107736 107738 35.196515
107738 107735 81.851218
107735 14498 8.856152
107760 107769 54.509454
107769 107771 24.869437
107771 107773 14.608712
107773 107776 22.857105
56769 56770 85.524340
9040 100457 348.772023
100457 781 9.614138
10278 21453 327.429472
21453 2127 331.846185
2127 2133 134.069232
6422 145081 52.582460
145081 145084 22.302778
145084 56814 103.745780
2405 921 52.641194
921 1132 138.259346
77267 134536 20.415323
134536 134537 14.178878
134536 134538 20.030105
134538 134539 29.331799
134538 134438 68.393363
6179 11159 10.612457
11159 22245 310.203561
22245 22246 14.352808
22246 22149 3.763742
22149 11160 5.149570
9975 86808 271.458727
86808 7286 23.006275
7286 90584 11.027019
90584 4472 26.282584
53076 53088 41.866665
53088 54812 6.037288
54812 53106 12.494968
3384 67854 38.804141
67854 68701 316.424176
68701 1518 36.521628
120450 57365 16.820415
57365 2324 3.901462
2324 120446 16.380374
53098 53155 8.231040
53127 53088 32.031620
4200 7233 107.076534
7233 66953 88.538842
66953 7236 109.696491
37256 89529 178.713162
6446 6439 315.809516
142950 142961 618.702254
53081 53098 24.642158
79991 90466 302.727988
41989 79991 83.270493
7254 7272 560.802179
137851 137877 41.938582
118933 118934 42.583460
21385 57891 272.978264
57891 21403 6.679663
64867 64811 124.584033
64837 64836 172.891921
64852 64859 51.343174
64828 64803 43.242546
64803 64852 77.540813
64852 4040 30.272591
64857 64789 21.908285
95897 108672 10.487802
108672 108672 37.108243
64851 64800 227.652250
64800 8185 76.850900
64788 64800 33.103105
16357 16358 6.360412
21059 21064 314.764904
142626 142535 9.470156
142535 142623 12.322104
142623 142668 17.729991
142668 142622 10.450180
134567 134571 54.635866
16359 121080 12.516040
121080 16360 16.403173
2403 90115 24.710592
90115 90124 63.224775
7803 10769 102.221891
10769 2265 114.761964
16358 16359 22.016565
64806 64860 50.623562
21456 20970 265.814442
65683 64860 169.236422
64860 64836 33.271567
64836 64789 81.023346
64789 64811 161.291231
61429 61458 246.193936
64793 64859 29.001028
64859 64870 29.723158
61458 61462 178.929373
61429 61435 55.400410
64856 64811 58.845569
64811 84747 47.335199
16990 11483 129.280552
11483 59913 14.051940
59913 11485 27.015259
21094 21096 115.636290
64805 64803 193.875408
25487 25415 47.303398
25415 25492 159.282465
25492 102368 379.328678
102368 25497 156.096816
7469 53286 37.792708
11074 4588 130.022633
4588 109335 125.929671
109335 109343 46.894050
109343 2222 42.979783
2222 14111 14.415807
14111 157035 36.392886
157035 44402 291.707064
44402 2221 13.699010
21381 83144 29.263578
21117 21096 38.786886
21096 21064 38.104088
21064 21059 37.984252
21059 22972 72.237282
22955 21096 308.165673
11816 11817 16.908599
11817 11822 96.221188
6555 104389 25.491905
104389 104394 48.222136
104394 23949 176.333715
23949 23957 143.040355
23957 15290 512.514839
2631 89807 124.540304
2140 53220 29.401441
53220 22972 436.238102
21156 21155 457.377398
15869 15861 69.411451
15861 116339 345.295635
116339 116338 47.307534
116339 15840 156.535768
8341 8952 270.104561
134574 134575 30.329092
134572 134573 25.204326
84516 84517 9.618153
84517 84518 7.950528
84510 84495 65.629034
133386 133385 9.282651
103546 133379 51.605710
133379 133394 69.423648
133394 133713 2.568723
133713 133715 33.504278
133382 133385 102.370396
107864 107872 25.528142
21187 21191 141.012397
21191 21194 112.314608
34510 34511 82.892927
34511 34513 65.987628
34513 34514 6.514204
34511 34516 19.796343
34516 34513 49.723459
34516 34518 27.474211
36440 59902 76.577317
1858 111029 153.802319
111029 113482 64.770829
113482 56501 476.075309
56501 56511 56.261644
56511 113811 181.749451
113811 113768 110.093758
113768 113451 188.697602
113451 83640 1203.629610
83640 83591 1029.795197
83591 129665 8.451074
129665 112138 466.266972
90634 6566 791.573659
37514 37515 3.946712
37515 37520 3.876841
37517 37516 50.294700
37516 14462 98.768523
14462 14455 87.629389
14455 14453 21.787629
37517 37518 16.449840
37518 37519 2.640905
37519 92786 16.639992
37520 37516 17.158104
16703 134072 28.230253
134072 134113 218.691383
134113 134123 137.469953
134124 134072 278.951785
134072 134071 50.968127
136319 136316 12.152568
83495 84167 16.046413
84167 96416 130.757818
96416 84149 18.162594
138627 138628 66.782799
138628 136358 10.258455
136358 136474 48.401418
136474 136473 4.104238
24774 24767 112.966636
136345 136349 8.875382
136349 136355 15.269511
136355 136473 48.585479
157093 157108 29.303117
120374 157108 8.754390
157108 157093 38.900791
157093 157092 11.509263
157121 157130 32.970657
157130 157130 98.245185
131378 131364 258.693897
131364 131355 126.406963
131355 131594 521.167389
131594 131342 122.562234
131342 131396 178.274806
8198 8201 184.322577
131529 131524 311.636716
71266 71435 312.260505
145368 145362 60.491009
71396 145323 104.079285
8488 134572 84.229216
134573 134582 108.504998
86519 86501 412.563237
98970 98974 120.918214
11782 11783 8.969443
11060 60255 23.031549
60255 11782 19.975225
11782 55106 61.410416
55106 3722 91.724213
3723 11798 121.573354
11798 11783 38.254089
11783 11800 25.835118
11800 12427 17.998448
12427 11801 45.454072
11801 11802 12.059118
