node	x	y	z
914	734279.347069	4777305.784022	0.000000
915	735042.877201	4777914.931708	0.000000
916	734287.265883	4777957.336581	0.000000
917	734121.916314	4777994.673069	0.000000
918	734317.962290	4778088.675008	0.000000
920	734816.120947	4777965.923119	0.000000
921	735179.840787	4778633.157118	0.000000
923	736738.547179	4779091.682003	0.000000
925	736822.811562	4779423.313609	0.000000
926	736650.292841	4780580.478986	0.000000
927	736688.527420	4780495.087315	0.000000
936	736682.510059	4782195.459649	0.000000
937	736356.975053	4781557.463094	0.000000
938	736669.185340	4782199.154905	0.000000
941	736291.711501	4781502.157261	0.000000
945	736288.897095	4781452.833768	0.000000
947	736359.989166	4781418.852568	0.000000
956	736673.899189	4780741.375516	0.000000
963	737949.081984	4783756.377439	0.000000
964	738097.128817	4783755.309120	0.000000
965	738379.610312	4783743.553462	0.000000
970	738455.822437	4783740.620585	0.000000
974	738420.485312	4783813.205849	0.000000
975	738425.267690	4783855.094819	0.000000
978	738551.772661	4784041.427963	0.000000
979	738700.896824	4784208.486701	0.000000
980	738939.980525	4784427.770300	0.000000
1009	734358.847550	4778276.115542	0.000000
1012	738059.715813	4776339.886773	0.000000
1020	736302.054658	4781387.852612	0.000000
1026	736424.286606	4780890.620907	0.000000
1034	736703.411003	4782293.415663	0.000000
1035	736689.610490	4782295.582062	0.000000
1036	739027.266668	4779277.206122	0.000000
1037	738499.973425	4779403.978250	0.000000
1040	738035.194883	4779114.509976	0.000000
1050	736358.095793	4776073.538051	0.000000
1051	736354.709305	4776043.598594	0.000000
1052	736367.103986	4775906.293069	0.000000
1075	742399.176912	4775780.615691	0.000000
1080	741947.594291	4775807.667448	0.000000
1081	741878.573502	4775805.318811	0.000000
1085	741541.980823	4774940.075410	0.000000
1093	739060.944461	4775768.333759	0.000000
1097	737665.996653	4778136.819061	0.000000
1100	737421.828774	4778084.451219	0.000000
1101	736548.496487	4778089.791658	0.000000
1103	737357.205290	4777559.516729	0.000000
1106	737070.563407	4777629.176675	0.000000
1107	736956.720260	4777676.477842	0.000000
1108	736432.051449	4777898.555162	0.000000
1110	736118.830927	4777787.030897	0.000000
1124	735974.587788	4777840.277361	0.000000
1125	735703.286639	4777745.002177	0.000000
1126	735186.036301	4777972.309693	0.000000
1129	735229.209773	4778518.187270	0.000000
1131	735243.912816	4778623.582905	0.000000
1132	735305.840817	4778689.056987	0.000000
1135	735725.922878	4777880.439888	0.000000
1138	736574.857445	4777701.438837	0.000000
1140	735868.629721	4778171.267026	0.000000
1141	735873.338740	4778186.063075	0.000000
1149	734862.325831	4778163.858405	0.000000
1150	735202.693861	4778091.482480	0.000000
1152	734432.187570	4778606.753878	0.000000
1153	734391.197528	4778404.509296	0.000000
1154	734640.771584	4778346.485195	0.000000
1155	734892.822063	4778290.256517	0.000000
1156	735229.871659	4778210.262472	0.000000
1157	734918.699002	4778416.173141	0.000000
1158	734946.759991	4778540.130467	0.000000
1160	736034.315086	4779148.769575	0.000000
1161	736035.673624	4779137.063484	0.000000
1162	736046.206883	4779129.467037	0.000000
1163	736075.880527	4779138.757119	0.000000
1177	735869.712850	4779643.949848	0.000000
1180	735888.518965	4779675.624219	0.000000
1183	735865.144168	4779691.449174	0.000000
1186	735844.073846	4779658.840269	0.000000
1190	735540.523479	4779905.446905	0.000000
1191	735863.517684	4779803.776183	0.000000
1196	734936.468741	4779222.718477	0.000000
1201	734106.395101	4778333.550673	0.000000
